Prix,Achat_Tot,Date,Part_Strat
72.0,30.0,6.0,0.14
141.0,6.0,7.0,0.14
113.0,10.0,8.0,0.14
206.0,5.0,9.0,0.14
184.0,10.0,10.0,0.14
187.0,17.0,11.0,0.14
168.0,17.0,12.0,0.14
221.0,3.0,1.0,0.15
203.0,2.0,2.0,0.15
131.0,19.0,3.0,0.15
145.0,12.0,4.0,0.15
118.0,7.0,5.0,0.15
186.0,7.0,6.0,0.15
184.0,6.0,7.0,0.15
92.0,30.0,8.0,0.15
98.0,30.0,9.0,0.15
78.0,30.0,10.0,0.15
208.0,8.0,11.0,0.15
100.0,6.0,12.0,0.15
196.0,4.0,1.0,0.16
138.0,18.0,2.0,0.16
99.0,30.0,3.0,0.16
189.0,0.0,4.0,0.16
134.0,3.0,5.0,0.16
216.0,3.0,6.0,0.16
172.0,7.0,7.0,0.16
218.0,7.0,8.0,0.16
176.0,9.0,9.0,0.16
136.0,9.0,10.0,0.16
215.0,11.0,11.0,0.16
135.0,25.0,12.0,0.16
144.0,18.0,1.0,0.17
159.0,5.0,2.0,0.17
102.0,13.0,3.0,0.17
180.0,4.0,4.0,0.17
201.0,5.0,5.0,0.17
180.0,12.0,6.0,0.17
206.0,5.0,7.0,0.17
189.0,6.0,8.0,0.17
82.0,30.0,9.0,0.17
176.0,8.0,10.0,0.17
100.0,29.0,11.0,0.17
125.0,7.0,12.0,0.17
139.0,23.0,1.0,0.18
207.0,3.0,2.0,0.18
101.0,10.0,3.0,0.18
146.0,3.0,4.0,0.18
135.0,3.0,5.0,0.18
73.0,30.0,6.0,0.18
127.0,11.0,7.0,0.18
178.0,5.0,8.0,0.18
101.0,13.0,9.0,0.18
138.0,12.0,10.0,0.18
155.0,12.0,11.0,0.18
72.0,23.0,12.0,0.18
149.0,17.0,1.0,0.19
213.0,3.0,2.0,0.19
118.0,9.0,3.0,0.19
200.0,3.0,4.0,0.19
133.0,5.0,5.0,0.19
116.0,9.0,6.0,0.19
119.0,5.0,7.0,0.19
155.0,10.0,8.0,0.19
74.0,30.0,9.0,0.19
180.0,11.0,10.0,0.19
220.0,13.0,11.0,0.19
227.0,23.0,12.0,0.19
70.0,30.0,1.0,0.2
85.0,30.0,2.0,0.2
189.0,2.0,3.0,0.2
156.0,2.0,4.0,0.2
91.0,30.0,5.0,0.2
195.0,2.0,6.0,0.2
203.0,7.0,7.0,0.2
143.0,9.0,8.0,0.2
149.0,10.0,9.0,0.2
93.0,30.0,10.0,0.2
102.0,21.0,11.0,0.2
172.0,3.0,12.0,0.2
124.0,25.0,1.0,0.21
178.0,3.0,2.0,0.21
149.0,2.0,3.0,0.21
81.0,30.0,4.0,0.21
185.0,4.0,5.0,0.21
131.0,4.0,6.0,0.21
133.0,4.0,7.0,0.21
183.0,5.0,8.0,0.21
142.0,11.0,9.0,0.21
130.0,12.0,10.0,0.21
114.0,19.0,11.0,0.21
89.0,14.0,12.0,0.21
91.0,30.0,1.0,0.22
146.0,7.0,2.0,0.22
220.0,1.0,3.0,0.22
102.0,11.0,4.0,0.22
222.0,3.0,5.0,0.22
229.0,4.0,6.0,0.22
208.0,3.0,7.0,0.22
94.0,30.0,8.0,0.22
127.0,9.0,9.0,0.22
218.0,5.0,10.0,0.22
106.0,20.0,11.0,0.22
209.0,20.0,12.0,0.22
127.0,19.0,1.0,0.23
112.0,7.0,2.0,0.23
87.0,30.0,3.0,0.23
144.0,6.0,4.0,0.23
169.0,1.0,5.0,0.23
75.0,30.0,6.0,0.23
190.0,6.0,7.0,0.23
74.0,30.0,8.0,0.23
110.0,7.0,9.0,0.23
146.0,11.0,10.0,0.23
156.0,15.0,11.0,0.23
180.0,12.0,12.0,0.23
136.0,20.0,1.0,0.24
110.0,12.0,2.0,0.24
116.0,3.0,3.0,0.24
87.0,30.0,4.0,0.24
94.0,30.0,5.0,0.24
188.0,8.0,6.0,0.24
218.0,8.0,7.0,0.24
104.0,11.0,8.0,0.24
158.0,4.0,9.0,0.24
190.0,8.0,10.0,0.24
156.0,18.0,11.0,0.24
192.0,18.0,12.0,0.24
96.0,30.0,1.0,0.25
167.0,2.0,2.0,0.25
90.0,30.0,3.0,0.25
107.0,12.0,4.0,0.25
116.0,6.0,5.0,0.25
130.0,7.0,6.0,0.25
179.0,3.0,7.0,0.25
165.0,5.0,8.0,0.25
220.0,6.0,9.0,0.25
216.0,4.0,10.0,0.25
146.0,13.0,11.0,0.25
71.0,16.0,12.0,0.25
214.0,1.0,1.0,0.26
202.0,2.0,2.0,0.26
114.0,24.0,3.0,0.26
89.0,30.0,4.0,0.26
83.0,30.0,5.0,0.26
124.0,2.0,6.0,0.26
191.0,5.0,7.0,0.26
185.0,5.0,8.0,0.26
116.0,18.0,9.0,0.26
89.0,30.0,10.0,0.26
142.0,13.0,11.0,0.26
162.0,10.0,12.0,0.26
113.0,25.0,1.0,0.27
162.0,1.0,2.0,0.27
226.0,2.0,3.0,0.27
134.0,11.0,4.0,0.27
133.0,13.0,5.0,0.27
150.0,4.0,6.0,0.27
160.0,9.0,7.0,0.27
203.0,6.0,8.0,0.27
228.0,4.0,9.0,0.27
151.0,16.0,10.0,0.27
207.0,9.0,11.0,0.27
117.0,21.0,12.0,0.27
183.0,8.0,1.0,0.28
102.0,24.0,2.0,0.28
151.0,2.0,3.0,0.28
106.0,11.0,4.0,0.28
157.0,7.0,5.0,0.28
188.0,7.0,6.0,0.28
141.0,12.0,7.0,0.28
78.0,30.0,8.0,0.28
176.0,9.0,9.0,0.28
198.0,9.0,10.0,0.28
116.0,23.0,11.0,0.28
74.0,19.0,12.0,0.28
85.0,30.0,1.0,0.29
131.0,2.0,2.0,0.29
168.0,3.0,3.0,0.29
140.0,3.0,4.0,0.29
105.0,10.0,5.0,0.29
195.0,8.0,6.0,0.29
89.0,30.0,7.0,0.29
209.0,2.0,8.0,0.29
225.0,2.0,9.0,0.29
178.0,12.0,10.0,0.29
96.0,30.0,11.0,0.29
76.0,6.0,12.0,0.29
142.0,22.0,1.0,0.3
175.0,5.0,2.0,0.3
130.0,11.0,3.0,0.3
198.0,4.0,4.0,0.3
154.0,1.0,5.0,0.3
170.0,5.0,6.0,0.3
134.0,10.0,7.0,0.3
161.0,9.0,8.0,0.3
223.0,9.0,9.0,0.3
96.0,30.0,10.0,0.3
151.0,17.0,11.0,0.3
81.0,15.0,12.0,0.3
77.0,30.0,1.0,0.31
124.0,1.0,2.0,0.31
171.0,2.0,3.0,0.31
115.0,11.0,4.0,0.31
127.0,5.0,5.0,0.31
98.0,30.0,6.0,0.31
172.0,4.0,7.0,0.31
110.0,5.0,8.0,0.31
133.0,6.0,9.0,0.31
114.0,11.0,10.0,0.31
228.0,10.0,11.0,0.31
84.0,26.0,12.0,0.31
194.0,2.0,1.0,0.32
177.0,6.0,2.0,0.32
200.0,3.0,3.0,0.32
122.0,21.0,4.0,0.32
78.0,30.0,5.0,0.32
131.0,7.0,6.0,0.32
143.0,3.0,7.0,0.32
177.0,8.0,8.0,0.32
94.0,30.0,9.0,0.32
94.0,30.0,10.0,0.32
103.0,7.0,11.0,0.32
226.0,7.0,12.0,0.32
79.0,30.0,1.0,0.33
110.0,3.0,2.0,0.33
105.0,13.0,3.0,0.33
71.0,30.0,4.0,0.33
178.0,5.0,5.0,0.33
84.0,30.0,6.0,0.33
189.0,5.0,7.0,0.33
81.0,30.0,8.0,0.33
206.0,2.0,9.0,0.33
139.0,10.0,10.0,0.33
87.0,20.0,11.0,0.33
214.0,0.0,12.0,0.33
202.0,0.0,1.0,0.34
200.0,1.0,2.0,0.34
194.0,6.0,3.0,0.34
129.0,22.0,4.0,0.34
212.0,2.0,5.0,0.34
169.0,4.0,6.0,0.34
104.0,16.0,7.0,0.34
163.0,5.0,8.0,0.34
200.0,9.0,9.0,0.34
121.0,17.0,10.0,0.34
168.0,12.0,11.0,0.34
95.0,19.0,12.0,0.34
182.0,3.0,1.0,0.35
189.0,6.0,2.0,0.35
182.0,8.0,3.0,0.35
114.0,18.0,4.0,0.35
210.0,3.0,5.0,0.35
207.0,1.0,6.0,0.35
70.0,30.0,7.0,0.35
197.0,3.0,8.0,0.35
86.0,30.0,9.0,0.35
165.0,12.0,10.0,0.35
